1,Via Elba,4832
2,Via Umberto I,4784
3,Via Adonide,4767
4,Via Antonio Minto,4851
5,Via San Carlino,4803
6,Via Tuscolana,4851
7,Via di Selva Candida,4851
8,Via della Magliana,4851
9,Via di Valle Muricana,4851
10,Via Colle Nocello,4807
11,Via Colsereno,4864
12,Via Elio Andrisco,4851
13,Via Filippo Corridoni,4879
14,Via Bernardino Pecci Caldarozzi,4780
15,Via Grottapinta,4871
16,Via 25 Aprile,4807
17,Via Caprera,4825
18,Via delle Pianelle,4790
19,Via Paolo Damiani,4880
20,Vicolo di Castel Campanile,4880
21,Via del Trivio,4765
22,Via Giuseppe,4767
23,Via Vittorio Veneto,4834
24,Largo Michele Unia,4851
25,Piazza Martiri Ungheresi,4838
26,Via Fioravanti,4773
27,Via Maenza,4780
28,Lungomare delle Sirene,4839
29,Via Venezia,4796
30,Corso Giuseppe Garibaldi,4794
31,Via dei Convolvoli,4789
32,Via Speciano,4786
33,Via G. Giusti,4874
34,Via Roma,4858
35,Largo Strindberg,4851
36,Via Benedetto del Soratte,4859
37,Via Lazio,4763
38,Via Zo'simo,4851
39,Via Fulvio Bernardini,4851
40,Via delle Milizie,4846
41,Viale dello Sport,4822
42,Via delle Sesie,4877
43,Via Giuseppe Garibaldi,4807
44,Via Arrigo Davila,4851
45,Via Palombina,4880
46,Via Trieste,4876
47,Via Monviso,4807
48,Via San Biagio,4871
49,Via Borgo sopra gli Orti,4804
50,Via 24 Maggio,4806
51,Piazza Cesare Battisti,4767
52,Via Giuseppe Mazzini,4855
53,Corso Vittorio Emanuele,4874
54,Via Vittorio Veneto,4857
55,Via Gaetano Casati,4851
56,Via della Torre Alessandrina,4880
57,Viale di Porto,4880
58,Via Mondello,4880
59,Via Gavignano,4862
60,Via Benedetto Varchi,4851
61,Via dell'Isola Farnese,4851
62,Via delle Mimose,4848
63,Via della Curia,4791
64,Vicolo Coccia Di Morto,4880
65,Via Carlo Goldoni,4767
66,Via Partenope,4767
67,Via 4 Novembre,4822
68,Via Ariosto,4881
69,Via Colle Cagioli,4875
70,Via della Fortuna,4767
71,Via Algidus,4875
72,Via Giuseppe Fiorelli,4851
73,Via Belvedere,4784
74,Via Roma,4875
75,Via Maremmana Inferiore,4807
76,Via Appia Nuova,4851
77,Via della Caffarelletta,4851
78,Strada di Colle Fagiano,4835
79,Via delle Coppe,4879
80,Via Angelo Poliziano,4874
81,Via Portuense,4880
82,Via Isonzo,4764
83,Localita' Rofoline,4835
84,Via Oscar Abello,4880
85,Via delle Quinte,4820
86,Via Palombarese,4881
87,Via Francesco Belloni,4851
88,Via Coni Zugna,4880
89,Viale del Cinema,4874
90,Via Innocenzo Moretti,4865
91,Via di Colle Formica,4871
92,Corso della Repubblica,4871
93,Via Busto Arsizio,4839
94,Via Flavia,4769
95,Via Ovidio,4769
96,Via Guglielmo Marconi,4821
97,Via Porta Vecchia,4772
98,Via Rosolino Pilo,4807
99,Via Lago di Paola,4864
100,Via Turino di Sano,4851
101,Via Antonio Zotti,4851
102,Via Enrico Toti,4864
103,Via Fonte Buono,4851
104,Via del Sole,4821
105,Via Lazio,4819
106,Via Ezio Rizzato,4880
107,Viale Giulio Venzi,4786
108,Via Cadore,4803
109,Via Eurialo,4851
110,Largo Torretta,4862
111,Via della Liberta',4866
112,Via Hiroschima Nagasaki,4771
113,Via dei Murici,4880
114,Viale Leonardo da Vinci,4851
115,Via Dalmazia,4878
116,Via Diocleziano,4765
117,Via Arcinazzo Romano,4807
118,Via delle Sorgenti,4825
119,Via Aquilio Manio,4851
120,Via Panezio,4851
121,Via delle Giostre,4817
122,Via delle Pinete,4877
123,Via Licio Visintini,4880
124,Via Nestore,4877
125,Via della Cava,4846
126,Via Vittorio Veneto,4848
127,Via Giuseppe Proietti,4863
128,Strada Ventiduesima,4809
129,Via dei Cerro,4767
130,Viale dei Cerri,4769
131,Via delle Zattere,4851
132,Via Sacro Cuore,4769
133,Via Donato Bramante,4792
134,Via Campi di Annibale,4806
135,Via Antifonte di Ramnunte,4851
136,Via del Castello,4829
137,Via Tacito,4807
138,Via Belgio,4767
139,Via Montepaparano,4789
140,Viale Poggio dei Pini,4765
141,Via Monte Grappa,4878
142,Via dei Castagni,4865
143,Via Spagna,4807
144,Via Formale Rotondo,4810
145,Via Nettunense,4763
146,Via San Massimo,4851
147,Viale dei Lauri,4769
148,Via Romana,4832
149,Via Cicerone,4881
150,Via Conchiglia di Mare,4767
151,Via Vervio,4851
152,Via di Passolombardo,4851
153,Via Merli,4834
154,Via Vladimiro Riva,4825
155,Via delle Acque Basse,4877
156,Via Romolo Gigliozzi,4851
157,Via Flaminia,4842
158,Via Luigi Sebastiani,4799
159,Viale Bruno Buozzi,4871
160,Via Saracinesco,4807
161,Via dei Tigli,4767
162,Via Guglielmo Marconi,4817
163,Colle Cancellata Grande,4874
164,Via del Sughereto,4839
165,Vicolo Santo Spirito,4817
166,Via San Sisinio,4842
167,Colle Acqua Maggio,4870
168,Via Valeria,4843
169,Localita' Vado Canale,4772
170,Via Nicola Ricciotti,4807
171,Viale Adriano Novello,4792
172,Via Antonio Francesco Gori,4851
173,Via Pietro Maroncelli,4807
174,Via Pietro Bernardini,4792
175,Via Abbazia,4880
176,Via Roma,4801
177,Via Camilla,4851
178,Via Eolo,4832
179,Viale di Focene,4880
180,Via Mare del Nettare,4877
181,Via di Torre Morena,4851
182,Via Cesare Battisti,4825
183,Via Giovanni Battista Conti,4862
184,Via del Carmine,4812
185,Via Poli,4767
186,Via Giorgione,4819
187,Via Marina Torre Grande,4880
188,Via Giuseppe Oblach,4880
189,Via Zanella,4819
190,Via Antonio Gramsci,4825
191,Via San Luri,4880
192,Via di Piampozzetto,4880
193,Strada dei Ferrari,4835
194,Via Remigio De Paolis,4860
195,Via Quarticciolo di Vermicino,4799
196,Via Leon Pancaldo,4851
197,Vicolo San Lorenzo,4783
198,Via Col di Lana,4878
199,Via Fausto Cecconi,4807
200,Via Monte Pollino,4825
201,Riviera Vittorio Mallozzi,4767
202,Via Sagama,4880
203,Via Dublino,4876
204,Via Le Pratelle,4800
205,Via Colle Nasone,4763
206,Largo Biante,4851
207,Viale Piave,4769
208,Via Lega Latina,4769
209,Lungomare Enea,4767
210,Via dei Fienili,4871
211,Via dei Gigli,4767
212,Strada Provinciale Cinque Sassi,4835
213,Piazza della Circoscrizione,4834
214,Via Edoardo Martini,4851
215,Via Poderale,4877
216,Via Monte San Gabriele,4816
217,Via Circonvallazione,4795
218,Via Francesco Baracca,4878
219,Via Venezia Giulia,4789
220,Via Sant'Antonio in Canepine,4763
221,Via Luigi Mazza,4767
222,Via Enrico Pea,4851
223,Corso Giacomo Matteotti,4763
224,Via Tirrenia,4876
225,Via degli Storni,4851
226,Via Nazzareno Di Berardino,4789
227,Via Aurelia Vecchia,4857
228,Via Mare della Serenita',4877
229,Via Alberto Amerani,4851
230,Via dei Mitili,4880
231,Via Colle Aprano,4870
232,Via Monte Peloso,4851
233,Via Olanda,4767
234,Via Vecchia di Velletri,4846
235,Piazzale Bruno Buozzi,4792
236,Via Troilo Savelli,4835
237,Contrada Fornarelli,4801
238,Via dell'Amicizia,4825
239,Via Andali,4851
240,Colle Santo Stefano,4870
241,Via Elena,4877
242,Via Cincinnato,4839
243,Piazza Casaline,4811
244,Via Flaminia,4784
245,Via Calabria,4857
246,Viale San Lorenzo,4877
247,Via John Lennon,4851
248,Via del Forno,4851
249,Via Santa Marta,4871
250,Via dell'Ospedale,4812
251,Via Antonio Gramsci,4771
252,Via del Parco,4769
253,Via Carlo Conti Rossini,4851
254,Via Ghilarza,4880
255,Via Monte Rosa,4852
256,Via Lecce,4877
257,Via Cellini,4842
258,Via San Carlo a Palidoro,4880
259,Via Giove,4767
260,Piazzale della Fontana,4797
261,Vicolo dell'Orso,4863
