id,"descrizione","code"
1,"Attività UOA"
2,"Volontariato"
3,"Mass media, informazione e stampa"
4,"Sanità, assistenza sociale e veterinaria"
5,"Materiali e mezzi"
6,"Trasporti, circolazione e viabilità"
7,"Telecomunicazioni"
8,"Servizi essenziali ed attività scolastica"
9,"Censimento danni a persone e cose"
10,"Strutture operative"
11,"Enti locali e continuità amministrativa"
12,"Materiali pericolosi"
13,"Assistenza alla popolazione"
14,"Coordinamento centri operativi"
15,"Beni culturali"
16,"Tecnico-scientifica e di pianificazione"
